(-0.000754, 0.000080, -0.000087, 1.000000
),(10.747024, -0.271475, -0.002374, 0.999997
),(10.790656, -0.271187, 0.009033, 0.999959
),(10.830273, -0.270070, 0.019623, 0.999807
),(10.870681, -0.267998, 0.031566, 0.999502
),(10.955284, -0.260139, 0.060878, 0.998145
),(10.993626, -0.254889, 0.074914, 0.997190
),(11.032783, -0.248387, 0.089297, 0.996005
),(11.071778, -0.240742, 0.103647, 0.994614
),(11.149120, -0.222071, 0.132358, 0.991202
),(11.190167, -0.210204, 0.147731, 0.989028
),(11.229944, -0.197377, 0.162739, 0.986669
),(11.272083, -0.182307, 0.178766, 0.983892
),(11.306530, -0.168829, 0.191980, 0.981399
),(11.345091, -0.152437, 0.206919, 0.978358
),(11.419821, -0.116611, 0.236164, 0.971713
),(11.454267, -0.098181, 0.249927, 0.968265
),(11.490686, -0.077299, 0.264673, 0.964338
),(11.528129, -0.054247, 0.280062, 0.959982
),(11.559991, -0.033300, 0.293354, 0.956004
),(11.628931, 0.016615, 0.322799, 0.946467
),(11.659573, 0.040973, 0.336248, 0.941774
),(11.691009, 0.067499, 0.350258, 0.936653
),(11.725251, 0.098305, 0.365894, 0.930657
),(11.752871, 0.124725, 0.378803, 0.925477
),(11.781803, 0.154037, 0.392644, 0.919691
),(11.840871, 0.219018, 0.413910, 0.910318
),(11.865764, 0.247730, 0.417039, 0.908888
),(11.893105, 0.279634, 0.419098, 0.907941
),(11.922908, 0.314666, 0.420335, 0.907369
),(11.948769, 0.345175, 0.420749, 0.907177
),(11.996541, 0.401665, 0.421256, 0.906942
),(12.030079, 0.441396, 0.421405, 0.906873
),(12.057164, 0.473494, 0.421443, 0.906855
),(12.086825, 0.508657, 0.421453, 0.906850
),(12.114550, 0.541527, 0.421462, 0.906846
),(12.144208, 0.576688, 0.421465, 0.906845
),(12.169998, 0.607266, 0.421467, 0.906844
),(12.222865, 0.669948, 0.421466, 0.906844
),(12.249916, 0.702071, 0.421357, 0.906895
),(12.279263, 0.737176, 0.427062, 0.904222
),(12.303983, 0.768028, 0.437191, 0.899369
),(12.329167, 0.801007, 0.449262, 0.893400
),(12.374953, 0.866352, 0.473886, 0.880586
),(12.397171, 0.901153, 0.486970, 0.873419
),(12.419829, 0.939190, 0.500523, 0.865723
),(12.438906, 0.973488, 0.512916, 0.858439
),(12.457913, 1.010127, 0.525673, 0.850687
),(12.494097, 1.088549, 0.552015, 0.833834
),(12.508908, 1.124918, 0.563822, 0.825896
),(12.523661, 1.164463, 0.576438, 0.817141
),(12.538072, 1.207187, 0.589771, 0.807571
),(12.549399, 1.244857, 0.600729, 0.799453
),(12.560181, 1.284899, 0.611196, 0.791479
),(12.579135, 1.367170, 0.629851, 0.776716
),(12.587051, 1.407164, 0.637666, 0.770313
),(12.594587, 1.449306, 0.645503, 0.763758
),(12.601789, 1.495411, 0.653885, 0.756594
),(12.606874, 1.532767, 0.660635, 0.750707
),(12.611823, 1.575120, 0.668257, 0.743931
),(12.619112, 1.661095, 0.683932, 0.729546
),(12.621354, 1.702755, 0.691337, 0.722533
),(12.622715, 1.744367, 0.698834, 0.715284
