time_string,time_taken_lec,time_taken_safety_controller,total_time,wcet,mean_reach_time
22/10/2020/15:46:55,1.16258,22.544,24.3908,0.051507,0.0229161
22/10/2020/15:47:42,0.350754,2.69275,3.30781,0.045819,0.0229031
22/10/2020/15:48:38,1.06311,3.52021,4.58332,0.045985,0.0218306
22/10/2020/15:51:22,0.214823,19.7757,22.5483,0.052408,0.022196
22/10/2020/15:54:03,0.088797,21.1498,22.5377,0.050879,0.0228025
22/10/2020/15:56:53,0.118013,11.794,16.5055,0.051128,0.0134524
22/10/2020/15:58:26,1.51838,8.19237,10.4193,0.050838,0.0212655
22/10/2020/16:01:03,0.716397,21.6189,22.6322,0.052746,0.0231187
22/10/2020/16:02:54,0.075645,11.3666,14.1465,0.047127,0.0229355
22/10/2020/16:04:51,1.01187,9.70599,14.1855,0.048433,0.0214948
22/10/2020/16:07:41,0.844356,22.2412,24.006,0.050371,0.0229097
22/10/2020/16:10:24,0.223502,23.2526,23.4761,0.048271,0.0235287
22/10/2020/16:11:11,0.24042,3.16146,3.40189,0.046562,0.0226881
22/10/2020/16:13:15,0.774766,13.5557,15.9591,0.051902,0.022666
22/10/2020/16:14:01,0.702281,2.19048,3.2301,0.045478,0.0225155
22/10/2020/16:16:41,0.294713,23.267,23.5617,0.051191,0.0236548
22/10/2020/16:18:28,0.070905,9.61451,13.1545,0.046381,0.0227063
22/10/2020/16:19:49,0.583594,5.21789,9.14416,0.043063,0.0229594
22/10/2020/16:21:22,0.321898,7.66712,11.0097,0.044249,0.0221268
22/10/2020/16:22:24,0.857815,4.31688,5.77449,0.048062,0.0229909
22/10/2020/16:25:03,0.595781,21.3188,22.1497,0.052971,0.0227661
22/10/2020/16:25:44,0.745422,1.13227,2.14575,0.046476,0.0226864
22/10/2020/16:28:32,0.722324,22.7284,23.7026,0.050812,0.0232047
22/10/2020/16:30:49,1.15169,15.2546,18.1494,0.05191,0.0222467
22/10/2020/16:32:37,1.20709,11.5825,13.675,0.048114,0.0227619
22/10/2020/16:35:32,0.798005,24.2581,25.0561,0.054081,0.0232928
22/10/2020/16:36:09,1.23358,0.130913,1.36449,0.046283,0.0242038
22/10/2020/16:38:00,1.19112,10.3825,13.3723,0.050482,0.0213819
22/10/2020/16:38:35,1.04432,0.0915,1.13582,0.041387,0.0222474
22/10/2020/16:40:21,0.134727,9.97182,12.4296,0.051038,0.0210674
22/10/2020/16:43:15,0.916795,23.9968,24.9136,0.050715,0.0228976
22/10/2020/16:46:00,1.19853,20.2982,22.6177,0.048851,0.0224894
22/10/2020/16:48:53,0.591501,23.6167,24.4803,0.051309,0.023013
22/10/2020/16:51:51,0.634669,24.0456,25.2118,0.050182,0.0227452
22/10/2020/16:53:37,0.729686,10.4185,13.0625,0.049428,0.0225563
22/10/2020/16:54:30,1.0017,3.18289,4.1846,0.043042,0.0221162
22/10/2020/16:57:21,0.240861,8.44902,8.68989,0.04701,0.00390611
22/10/2020/17:00:04,0.088562,19.4289,22.8062,0.045413,0.0227095
22/10/2020/17:01:51,0.465221,11.8229,13.3493,0.051329,0.0226246
22/10/2020/17:03:29,1.16248,7.71698,12.0711,0.050648,0.0225661
22/10/2020/17:06:18,0.801215,22.0842,24.0711,0.051348,0.0229922
22/10/2020/17:09:07,0.138302,21.4184,23.7076,0.050483,0.0229747
22/10/2020/17:09:48,0.296104,0.927559,2.12708,0.048859,0.0231536
22/10/2020/17:12:41,0.277221,21.8138,24.3839,0.050975,0.0229894
22/10/2020/17:15:26,0.583603,22.4755,23.3465,0.052073,0.0230049
22/10/2020/17:16:59,0.761317,7.80158,11.0648,0.047513,0.0225619
22/10/2020/17:18:54,0.072388,12.0231,14.7373,0.048234,0.0229061
22/10/2020/17:19:33,0.591405,0.978778,1.8958,0.048142,0.0235933
22/10/2020/17:21:58,1.03332,16.6135,19.114,0.047171,0.0222928
