0.202186	0.012383
0.203723	0.012573
0.205263	0.012765
0.206808	0.012959
0.208356	0.013155
0.209909	0.013353
0.211465	0.013553
0.213025	0.013754
0.214589	0.013958
0.216157	0.014164
0.217728	0.014372
0.219303	0.014582
0.220883	0.014794
0.222465	0.015008
0.224052	0.015225
0.225642	0.015443
0.227236	0.015663
0.228834	0.015886
0.230435	0.016110
0.232040	0.016337
0.233649	0.016566
0.235261	0.016797
0.236876	0.017030
0.238496	0.017265
0.240119	0.017502
0.241745	0.017742
0.243375	0.017983
0.245008	0.018227
0.246645	0.018474
0.248285	0.018722
0.249929	0.018972
0.251576	0.019225
0.253227	0.019480
0.254881	0.019737
0.256538	0.019997
0.258199	0.020259
0.259863	0.020523
0.261530	0.020789
0.263201	0.021057
0.264875	0.021328
0.266552	0.021601
0.268232	0.021877
0.269916	0.022155
0.271603	0.022435
0.273293	0.022717
0.274986	0.023002
0.276682	0.023289
0.278382	0.023579
0.280085	0.023870
0.281790	0.024165
0.283499	0.024461
0.285211	0.024760
